,Alameda County, California, Precipitation,Kings County, California, Precipitation,Placer County, California, Precipitation,Sierra County, California, Precipitation,Alpine County, California, Precipitation,Lake County, California, Precipitation,Plumas County, California, Precipitation,Siskiyou County, California, Precipitation,Amador County, California, Precipitation,Lassen County, California, Precipitation,Riverside County, California, Precipitation,Solano County, California, Precipitation,Butte County, California, Precipitation,Los Angeles County, California, Precipitation,Sacramento County, California, Precipitation,Sonoma County, California, Precipitation,Calaveras County, California, Precipitation,Madera County, California, Precipitation,San Benito County, California, Precipitation,Stanislaus County, California, Precipitation,Colusa County, California, Precipitation,Marin County, California, Precipitation,San Bernardino County, California, Precipitation,Sutter County, California, Precipitation,Contra Costa County, California, Precipitation,Mariposa County, California, Precipitation,San Diego County, California, Precipitation,Tehama County, California, Precipitation,Del Norte County, California, Precipitation,Mendocino County, California, Precipitation,San Francisco County, California, Precipitation,Trinity County, California, Precipitation,El Dorado County, California, Precipitation,Merced County, California, Precipitation,San Joaquin County, California, Precipitation,Tulare County, California, Precipitation,Fresno County, California, Precipitation,Modoc County, California, Precipitation,San Luis Obispo County, California, Precipitation,Tuolumne County, California, Precipitation,Glenn County, California, Precipitation,Mono County, California, Precipitation,San Mateo County, California, Precipitation,Ventura County, California, Precipitation,Humboldt County, California, Precipitation,Monterey County, California, Precipitation,Santa Barbara County, California, Precipitation,Yolo County, California, Precipitation,Imperial County, California, Precipitation,Napa County, California, Precipitation,Santa Clara County, California, Precipitation,Yuba County, California, Precipitation
60,200410,3.25,,200410,1.81,,200410,6.74,,200410,6.44,,200410,5.64,,200410,5.59,,200410,6.03,,200410,5.29,,200410,5.88,,200410,3.12,,200410,2.06,,200410,2.68,,200410,6.56,,200410,3.79,,200410,2.90,,200410,4.80,,200410,5.91,,200410,5.31,,200410,3.97,,200410,2.22,,200410,3.87,,200410,4.24,,200410,1.80,,200410,2.90,,200410,3.11,,200410,7.97,,200410,3.38,,200410,4.66,,200410,8.62,,200410,5.19,,200410,3.40,,200410,6.62,,200410,6.84,,200410,2.65,,200410,2.55,,200410,3.76,,200410,4.36,,200410,2.89,,200410,3.95,,200410,8.26,,200410,4.18,,200410,2.87,,200410,4.17,,200410,4.36,,200410,7.61,,200410,4.26,,200410,4.20,,200410,2.68,,200410,1.14,,200410,3.89,,200410,4.04,,200410,5.43,
61,200411,1.46,,200411,0.46,,200411,4.09,,200411,3.01,,200411,3.50,,200411,3.04,,200411,2.45,,200411,2.26,,200411,3.68,,200411,1.92,,200411,1.14,,200411,2.46,,200411,2.40,,200411,0.78,,200411,2.53,,200411,2.76,,200411,3.20,,200411,1.68,,200411,1.01,,200411,1.41,,200411,2.21,,200411,2.77,,200411,1.20,,200411,2.49,,200411,1.79,,200411,2.58,,200411,1.14,,200411,2.55,,200411,2.70,,200411,2.13,,200411,1.84,,200411,2.79,,200411,3.91,,200411,1.16,,200411,1.95,,200411,1.40,,200411,1.46,,200411,1.96,,200411,1.58,,200411,3.47,,200411,2.69,,200411,2.31,,200411,1.70,,200411,0.23,,200411,2.21,,200411,1.32,,200411,0.61,,200411,2.82,,200411,0.57,,200411,2.77,,200411,1.42,,200411,3.21,
62,200412,5.16,,200412,2.17,,200412,8.86,,200412,8.63,,200412,6.64,,200412,14.32,,200412,8.83,,200412,8.56,,200412,7.15,,200412,2.37,,200412,2.82,,200412,5.73,,200412,9.33,,200412,6.06,,200412,4.00,,200412,12.96,,200412,7.29,,200412,5.20,,200412,5.59,,200412,3.69,,200412,8.17,,200412,12.15,,200412,2.09,,200412,3.65,,200412,5.21,,200412,6.07,,200412,3.70,,200412,8.46,,200412,15.49,,200412,13.17,,200412,7.77,,200412,12.11,,200412,8.42,,200412,3.30,,200412,3.29,,200412,4.24,,200412,4.82,,200412,1.75,,200412,6.64,,200412,8.06,,200412,8.85,,200412,3.59,,200412,9.03,,200412,8.97,,200412,13.42,,200412,7.74,,200412,8.16,,200412,5.24,,200412,1.18,,200412,9.45,,200412,6.73,,200412,7.14,
63,200501,3.72,,200501,2.66,,200501,8.91,,200501,7.67,,200501,8.19,,200501,9.06,,200501,6.46,,200501,3.97,,200501,9.35,,200501,2.39,,200501,4.64,,200501,4.41,,200501,7.45,,200501,9.55,,200501,4.10,,200501,6.65,,200501,10.11,,200501,6.89,,200501,5.00,,200501,3.48,,200501,5.51,,200501,5.98,,200501,3.88,,200501,4.18,,200501,4.24,,200501,10.62,,200501,5.60,,200501,6.46,,200501,8.10,,200501,8.36,,200501,4.30,,200501,7.00,,200501,10.05,,200501,3.38,,200501,3.36,,200501,7.93,,200501,6.38,,200501,1.31,,200501,6.35,,200501,11.98,,200501,6.82,,200501,4.86,,200501,5.57,,200501,14.18,,200501,7.77,,200501,5.85,,200501,9.40,,200501,4.62,,200501,1.36,,200501,6.13,,200501,5.21,,200501,6.53,
64,200502,4.01,,200502,1.71,,200502,4.53,,200502,3.21,,200502,4.32,,200502,5.91,,200502,3.14,,200502,1.71,,200502,4.34,,200502,1.33,,200502,5.28,,200502,3.70,,200502,4.06,,200502,10.31,,200502,2.71,,200502,5.27,,200502,4.73,,200502,4.40,,200502,4.86,,200502,3.21,,200502,4.19,,200502,5.77,,200502,4.13,,200502,2.65,,200502,3.70,,200502,5.47,,200502,6.02,,200502,3.82,,200502,2.28,,200502,5.04,,200502,4.97,,200502,4.16,,200502,4.89,,200502,2.71,,200502,2.51,,200502,3.97,,200502,3.64,,200502,1.02,,200502,4.74,,200502,6.10,,200502,4.76,,200502,2.13,,200502,5.59,,200502,10.63,,200502,3.38,,200502,5.88,,200502,6.61,,200502,3.57,,200502,1.79,,200502,4.53,,200502,5.05,,200502,4.00,
65,200503,4.06,,200503,1.54,,200503,8.72,,200503,8.12,,200503,6.50,,200503,7.77,,200503,7.24,,200503,4.41,,200503,9.01,,200503,2.67,,200503,0.46,,200503,3.62,,200503,6.92,,200503,1.94,,200503,3.61,,200503,7.64,,200503,8.71,,200503,5.05,,200503,3.66,,200503,2.93,,200503,3.93,,200503,6.80,,200503,0.78,,200503,2.50,,200503,3.65,,200503,8.17,,200503,1.65,,200503,4.97,,200503,10.83,,200503,9.31,,200503,5.03,,200503,10.19,,200503,9.18,,200503,2.62,,200503,2.85,,200503,4.68,,200503,4.05,,200503,1.98,,200503,3.05,,200503,9.30,,200503,4.26,,200503,2.30,,200503,6.31,,200503,2.76,,200503,9.75,,200503,3.96,,200503,3.17,,200503,3.19,,200503,0.23,,200503,5.56,,200503,5.34,,200503,6.43,
66,200504,1.85,,200504,0.88,,200504,3.28,,200504,3.00,,200504,2.50,,200504,2.91,,200504,2.85,,200504,4.03,,200504,2.41,,200504,1.87,,200504,0.40,,200504,1.20,,200504,2.95,,200504,1.09,,200504,1.32,,200504,2.66,,200504,2.14,,200504,1.28,,200504,1.58,,200504,1.20,,200504,1.27,,200504,2.49,,200504,0.20,,200504,0.90,,200504,1.55,,200504,1.88,,200504,1.10,,200504,2.82,,200504,10.23,,200504,4.48,,200504,2.22,,200504,5.43,,200504,3.29,,200504,1.04,,200504,1.38,,200504,1.73,,200504,1.42,,200504,2.41,,200504,1.12,,200504,2.89,,200504,1.64,,200504,0.93,,200504,2.54,,200504,1.29,,200504,7.45,,200504,1.56,,200504,0.85,,200504,0.96,,200504,0.07,,200504,1.67,,200504,2.14,,200504,2.12,
67,200505,1.40,,200505,1.16,,200505,6.42,,200505,5.99,,200505,4.33,,200505,5.74,,200505,5.72,,200505,5.65,,200505,4.15,,200505,3.82,,200505,0.09,,200505,1.49,,200505,6.39,,200505,0.52,,200505,1.71,,200505,5.51,,200505,3.77,,200505,3.67,,200505,0.78,,200505,1.06,,200505,2.54,,200505,3.51,,200505,0.09,,200505,1.96,,200505,1.34,,200505,4.38,,200505,0.18,,200505,5.59,,200505,8.15,,200505,5.99,,200505,1.77,,200505,7.94,,200505,5.87,,200505,1.05,,200505,0.94,,200505,2.57,,200505,2.70,,200505,4.73,,200505,1.12,,200505,5.24,,200505,3.22,,200505,1.56,,200505,1.97,,200505,1.00,,200505,6.75,,200505,0.87,,200505,0.90,,200505,1.98,,200505,0.00,,200505,3.82,,200505,1.28,,200505,4.93,
68,200506,0.35,,200506,0.00,,200506,1.91,,200506,1.81,,200506,0.86,,200506,1.53,,200506,2.21,,200506,1.62,,200506,1.25,,200506,1.73,,200506,0.00,,200506,0.43,,200506,2.19,,200506,0.00,,200506,0.61,,200506,1.00,,200506,0.83,,200506,0.12,,200506,0.20,,200506,0.19,,200506,1.07,,200506,0.87,,200506,0.00,,200506,0.82,,200506,0.33,,200506,0.11,,200506,0.03,,200506,1.45,,200506,3.66,,200506,2.34,,200506,0.81,,200506,2.58,,200506,2.04,,200506,0.11,,200506,0.31,,200506,0.00,,200506,0.06,,200506,0.65,,200506,0.02,,200506,0.67,,200506,1.01,,200506,0.16,,200506,0.78,,200506,0.00,,200506,3.60,,200506,0.14,,200506,0.01,,200506,0.64,,200506,0.00,,200506,0.73,,200506,0.51,,200506,1.63,
69,200507,0.01,,200507,0.01,,200507,0.02,,200507,0.04,,200507,0.30,,200507,0.00,,200507,0.01,,200507,0.13,,200507,0.02,,200507,0.02,,200507,0.55,,200507,0.00,,200507,0.00,,200507,0.05,,200507,0.00,,200507,0.00,,200507,0.01,,200507,0.02,,200507,0.02,,200507,0.00,,200507,0.00,,200507,0.00,,200507,0.48,,200507,0.00,,200507,0.00,,200507,0.01,,200507,0.39,,200507,0.00,,200507,0.10,,200507,0.01,,200507,0.03,,200507,0.03,,200507,0.02,,200507,0.00,,200507,0.00,,200507,0.02,,200507,0.01,,200507,0.04,,200507,0.00,,200507,0.04,,200507,0.00,,200507,0.20,,200507,0.02,,200507,0.01,,200507,0.03,,200507,0.06,,200507,0.00,,200507,0.00,,200507,0.28,,200507,0.00,,200507,0.01,,200507,0.00,
70,200508,0.00,,200508,0.01,,200508,0.12,,200508,0.12,,200508,0.42,,200508,0.00,,200508,0.01,,200508,0.01,,200508,0.05,,200508,0.00,,200508,0.55,,200508,0.00,,200508,0.00,,200508,0.11,,200508,0.00,,200508,0.01,,200508,0.03,,200508,0.31,,200508,0.01,,200508,0.02,,200508,0.00,,200508,0.01,,200508,0.75,,200508,0.00,,200508,0.00,,200508,0.27,,200508,0.58,,200508,0.00,,200508,0.03,,200508,0.00,,200508,0.02,,200508,0.00,,200508,0.18,,200508,0.03,,200508,0.00,,200508,0.46,,200508,0.34,,200508,0.00,,200508,0.03,,200508,0.34,,200508,0.00,,200508,0.73,,200508,0.02,,200508,0.04,,200508,0.01,,200508,0.02,,200508,0.00,,200508,0.00,,200508,0.87,,200508,0.00,,200508,0.01,,200508,0.00,
71,200509,0.12,,200509,0.21,,200509,0.57,,200509,0.47,,200509,0.61,,200509,0.03,,200509,0.67,,200509,0.24,,200509,0.64,,200509,0.39,,200509,0.18,,200509,0.03,,200509,0.16,,200509,0.41,,200509,0.12,,200509,0.00,,200509,0.78,,200509,0.37,,200509,0.03,,200509,0.20,,200509,0.01,,200509,0.02,,200509,0.41,,200509,0.05,,200509,0.05,,200509,0.52,,200509,0.11,,200509,0.16,,200509,0.48,,200509,0.05,,200509,0.04,,200509,0.03,,200509,0.73,,200509,0.16,,200509,0.13,,200509,0.65,,200509,0.42,,200509,0.40,,200509,0.04,,200509,0.77,,200509,0.11,,200509,0.41,,200509,0.14,,200509,0.26,,200509,0.11,,200509,0.04,,200509,0.09,,200509,0.03,,200509,0.09,,200509,0.01,,200509,0.05,,200509,0.23,
72,200510,0.22,,200510,0.09,,200510,1.40,,200510,1.52,,200510,1.01,,200510,1.03,,200510,1.09,,200510,1.31,,200510,0.67,,200510,0.81,,200510,1.33,,200510,0.20,,200510,1.84,,200510,1.99,,200510,0.17,,200510,1.42,,200510,0.73,,200510,0.37,,200510,0.06,,200510,0.11,,200510,0.64,,200510,0.80,,200510,1.15,,200510,0.52,,200510,0.21,,200510,0.73,,200510,1.19,,200510,0.78,,200510,4.71,,200510,1.35,,200510,0.45,,200510,1.34,,200510,1.19,,200510,0.13,,200510,0.11,,200510,1.01,,200510,0.34,,200510,0.84,,200510,0.26,,200510,1.12,,200510,0.52,,200510,0.49,,200510,0.47,,200510,1.86,,200510,2.88,,200510,0.06,,200510,0.56,,200510,0.23,,200510,0.68,,200510,0.68,,200510,0.15,,200510,1.34,
73,200511,1.05,,200511,0.13,,200511,3.85,,200511,4.15,,200511,2.74,,200511,5.90,,200511,4.39,,200511,8.55,,200511,2.13,,200511,2.87,,200511,0.01,,200511,1.48,,200511,5.35,,200511,0.23,,200511,1.05,,200511,3.55,,200511,2.07,,200511,0.67,,200511,0.54,,200511,0.46,,200511,3.03,,200511,2.68,,200511,0.02,,200511,2.15,,200511,1.13,,200511,1.38,,200511,0.07,,200511,6.42,,200511,13.98,,200511,7.61,,200511,2.09,,200511,9.37,,200511,3.36,,200511,0.27,,200511,0.49,,200511,0.29,,200511,0.57,,200511,3.83,,200511,0.65,,200511,2.57,,200511,3.38,,200511,0.66,,200511,1.79,,200511,0.87,,200511,10.71,,200511,0.83,,200511,1.58,,200511,1.84,,200511,0.00,,200511,2.53,,200511,0.96,,200511,3.88,
74,200512,7.73,,200512,0.85,,200512,23.47,,200512,24.65,,200512,16.20,,200512,23.03,,200512,20.84,,200512,16.96,,200512,15.05,,200512,7.34,,200512,0.05,,200512,11.66,,200512,20.29,,200512,0.62,,200512,8.81,,200512,21.89,,200512,13.91,,200512,6.91,,200512,4.29,,200512,4.00,,200512,11.14,,200512,18.87,,200512,0.05,,200512,8.33,,200512,9.05,,200512,11.03,,200512,0.15,,200512,15.62,,200512,25.53,,200512,26.28,,200512,12.08,,200512,27.73,,200512,21.19,,200512,2.81,,200512,5.80,,200512,4.31,,200512,4.93,,200512,5.71,,200512,2.38,,200512,17.08,,200512,12.22,,200512,5.85,,200512,12.30,,200512,1.28,,200512,23.32,,200512,5.35,,200512,1.37,,200512,11.02,,200512,0.00,,200512,17.47,,200512,8.27,,200512,17.41,
75,200601,3.14,,200601,3.27,,200601,8.61,,200601,8.09,,200601,7.36,,200601,7.46,,200601,7.32,,200601,10.23,,200601,7.02,,200601,3.38,,200601,0.34,,200601,3.20,,200601,7.53,,200601,2.14,,200601,3.18,,200601,7.35,,200601,7.20,,200601,5.76,,200601,4.18,,200601,2.94,,200601,3.09,,200601,5.97,,200601,0.35,,200601,2.39,,200601,3.05,,200601,7.18,,200601,0.94,,200601,6.56,,200601,20.44,,200601,10.95,,200601,3.81,,200601,13.59,,200601,8.83,,200601,2.54,,200601,3.07,,200601,6.18,,200601,5.38,,200601,3.27,,200601,5.10,,200601,9.03,,200601,3.61,,200601,3.88,,200601,4.86,,200601,3.78,,200601,16.34,,200601,4.91,,200601,4.88,,200601,2.92,,200601,0.02,,200601,5.07,,200601,4.48,,200601,5.76,
76,200602,1.80,,200602,0.47,,200602,6.39,,200602,6.07,,200602,4.78,,200602,5.78,,200602,6.38,,200602,5.08,,200602,3.61,,200602,2.87,,200602,0.81,,200602,2.71,,200602,6.37,,200602,2.53,,200602,1.90,,200602,5.89,,200602,3.58,,200602,2.40,,200602,1.68,,200602,1.19,,200602,3.23,,200602,4.38,,200602,0.39,,200602,2.57,,200602,1.99,,200602,3.12,,200602,1.57,,200602,5.07,,200602,8.62,,200602,7.06,,200602,3.06,,200602,7.42,,200602,5.63,,200602,0.92,,200602,1.16,,200602,2.00,,200602,2.27,,200602,1.99,,200602,1.34,,200602,4.58,,200602,3.24,,200602,2.11,,200602,3.09,,200602,3.21,,200602,8.62,,200602,1.95,,200602,2.14,,200602,2.73,,200602,0.02,,200602,4.67,,200602,2.29,,200602,4.79,
77,200603,6.79,,200603,2.44,,200603,11.57,,200603,11.20,,200603,7.97,,200603,13.79,,200603,9.94,,200603,6.26,,200603,10.34,,200603,3.63,,200603,1.33,,200603,6.32,,200603,13.57,,200603,3.21,,200603,5.35,,200603,12.82,,200603,10.85,,200603,6.61,,200603,5.18,,200603,4.23,,200603,7.41,,200603,11.29,,200603,0.80,,200603,5.38,,200603,6.38,,200603,8.21,,200603,3.09,,200603,9.70,,200603,15.79,,200603,15.33,,200603,9.30,,200603,12.66,,200603,11.84,,200603,3.39,,200603,4.01,,200603,5.74,,200603,5.75,,200603,2.59,,200603,4.45,,200603,10.93,,200603,7.83,,200603,2.59,,200603,10.83,,200603,4.25,,200603,15.51,,200603,6.04,,200603,3.79,,200603,5.96,,200603,0.40,,200603,9.27,,200603,8.25,,200603,11.21,
78,200604,4.00,,200604,2.24,,200604,10.80,,200604,10.63,,200604,6.79,,200604,10.85,,200604,10.29,,200604,4.09,,200604,9.94,,200604,4.11,,200604,0.84,,200604,4.18,,200604,9.89,,200604,2.69,,200604,4.51,,200604,8.90,,200604,8.86,,200604,6.75,,200604,3.03,,200604,2.71,,200604,5.39,,200604,7.43,,200604,0.52,,200604,3.88,,200604,4.02,,200604,9.21,,200604,1.74,,200604,8.10,,200604,6.62,,200604,9.07,,200604,5.00,,200604,7.48,,200604,11.66,,200604,2.31,,200604,3.26,,200604,5.08,,200604,5.39,,200604,2.79,,200604,3.96,,200604,9.81,,200604,6.75,,200604,2.57,,200604,5.96,,200604,4.58,,200604,6.48,,200604,4.40,,200604,5.27,,200604,4.35,,200604,0.01,,200604,6.24,,200604,4.99,,200604,8.30,
79,200605,0.62,,200605,0.53,,200605,1.25,,200605,1.28,,200605,0.89,,200605,1.47,,200605,1.07,,200605,1.16,,200605,1.29,,200605,0.89,,200605,0.09,,200605,0.75,,200605,0.90,,200605,0.56,,200605,0.54,,200605,0.60,,200605,1.53,,200605,1.12,,200605,1.20,,200605,0.87,,200605,0.81,,200605,0.52,,200605,0.03,,200605,0.50,,200605,0.63,,200605,1.11,,200605,0.46,,200605,1.06,,200605,3.26,,200605,0.87,,200605,0.51,,200605,1.89,,200605,1.18,,200605,0.95,,200605,0.74,,200605,0.51,,200605,1.14,,200605,0.73,,200605,1.23,,200605,1.68,,200605,1.29,,200605,0.73,,200605,0.57,,200605,1.05,,200605,2.02,,200605,1.38,,200605,1.16,,200605,0.66,,200605,0.02,,200605,0.83,,200605,0.63,,200605,0.78,
80,200606,0.00,,200606,0.00,,200606,0.21,,200606,0.31,,200606,0.06,,200606,0.05,,200606,0.30,,200606,0.81,,200606,0.03,,200606,0.29,,200606,0.03,,200606,0.00,,200606,0.17,,200606,0.03,,200606,0.00,,200606,0.01,,200606,0.01,,200606,0.03,,200606,0.00,,200606,0.00,,200606,0.06,,200606,0.01,,200606,0.05,,200606,0.00,,200606,0.01,,200606,0.03,,200606,0.04,,200606,0.37,,200606,1.78,,200606,0.11,,200606,0.00,,200606,0.60,,200606,0.12,,200606,0.00,,200606,0.00,,200606,0.14,,200606,0.03,,200606,0.35,,200606,0.00,,200606,0.08,,200606,0.24,,200606,0.11,,200606,0.02,,200606,0.01,,200606,0.45,,200606,0.00,,200606,0.00,,200606,0.01,,200606,0.02,,200606,0.01,,200606,0.00,,200606,0.05,
81,200607,0.00,,200607,0.00,,200607,0.05,,200607,0.09,,200607,0.38,,200607,0.00,,200607,0.04,,200607,0.06,,200607,0.03,,200607,0.05,,200607,0.11,,200607,0.00,,200607,0.00,,200607,0.10,,200607,0.00,,200607,0.01,,200607,0.01,,200607,0.10,,200607,0.06,,200607,0.01,,200607,0.00,,200607,0.01,,200607,0.36,,200607,0.00,,200607,0.00,,200607,0.04,,200607,0.27,,200607,0.00,,200607,0.05,,200607,0.00,,200607,0.00,,200607,0.02,,200607,0.04,,200607,0.00,,200607,0.01,,200607,0.22,,200607,0.27,,200607,0.09,,200607,0.01,,200607,0.24,,200607,0.00,,200607,0.56,,200607,0.01,,200607,0.06,,200607,0.03,,200607,0.03,,200607,0.00,,200607,0.00,,200607,0.04,,200607,0.00,,200607,0.00,,200607,0.00,
82,200608,0.00,,200608,0.00,,200608,0.02,,200608,0.01,,200608,0.22,,200608,0.00,,200608,0.01,,200608,0.26,,200608,0.01,,200608,0.04,,200608,0.34,,200608,0.00,,200608,0.01,,200608,0.00,,200608,0.00,,200608,0.00,,200608,0.00,,200608,0.00,,200608,0.00,,200608,0.00,,200608,0.00,,200608,0.00,,200608,0.05,,200608,0.00,,200608,0.00,,200608,0.00,,200608,0.09,,200608,0.01,,200608,0.14,,200608,0.00,,200608,0.00,,200608,0.13,,200608,0.02,,200608,0.00,,200608,0.00,,200608,0.00,,200608,0.00,,200608,0.22,,200608,0.00,,200608,0.03,,200608,0.00,,200608,0.04,,200608,0.00,,200608,0.01,,200608,0.05,,200608,0.00,,200608,0.01,,200608,0.00,,200608,0.20,,200608,0.00,,200608,0.00,,200608,0.00,
83,200609,0.00,,200609,0.00,,200609,0.05,,200609,0.04,,200609,0.17,,200609,0.01,,200609,0.01,,200609,0.05,,200609,0.03,,200609,0.02,,200609,0.26,,200609,0.00,,200609,0.00,,200609,0.01,,200609,0.00,,200609,0.00,,200609,0.04,,200609,0.00,,200609,0.00,,200609,0.00,,200609,0.00,,200609,0.00,,200609,0.17,,200609,0.01,,200609,0.00,,200609,0.01,,200609,0.03,,200609,0.00,,200609,0.38,,200609,0.01,,200609,0.00,,200609,0.03,,200609,0.05,,200609,0.00,,200609,0.00,,200609,0.03,,200609,0.00,,200609,0.07,,200609,0.00,,200609,0.07,,200609,0.00,,200609,0.05,,200609,0.01,,200609,0.01,,200609,0.15,,200609,0.00,,200609,0.01,,200609,0.00,,200609,0.24,,200609,0.00,,200609,0.00,,200609,0.01,
84,200610,0.36,,200610,0.19,,200610,0.68,,200610,0.69,,200610,0.96,,200610,0.32,,200610,0.53,,200610,0.62,,200610,0.72,,200610,0.55,,200610,0.09,,200610,0.18,,200610,0.22,,200610,0.18,,200610,0.21,,200610,0.50,,200610,0.92,,200610,0.67,,200610,0.38,,200610,0.30,,200610,0.19,,200610,0.65,,200610,0.50,,200610,0.10,,200610,0.27,,200610,0.95,,200610,0.30,,200610,0.22,,200610,1.20,,200610,0.36,,200610,0.63,,200610,0.41,,200610,0.84,,200610,0.31,,200610,0.29,,200610,0.58,,200610,0.54,,200610,0.70,,200610,0.36,,200610,1.20,,200610,0.13,,200610,0.71,,200610,0.57,,200610,0.27,,200610,0.65,,200610,0.37,,200610,0.28,,200610,0.12,,200610,0.10,,200610,0.31,,200610,0.39,,200610,0.30,
85,200611,1.83,,200611,0.17,,200611,4.39,,200611,4.95,,200611,2.89,,200611,3.65,,200611,4.00,,200611,6.99,,200611,2.87,,200611,2.14,,200611,0.02,,200611,1.84,,200611,4.53,,200611,0.11,,200611,1.25,,200611,4.18,,200611,2.86,,200611,0.93,,200611,0.87,,200611,1.04,,200611,1.94,,200611,4.21,,200611,0.01,,200611,1.75,,200611,1.67,,200611,1.99,,200611,0.12,,200611,3.81,,200611,20.86,,200611,6.46,,200611,2.95,,200611,8.75,,200611,4.19,,200611,0.68,,200611,1.18,,200611,0.23,,200611,0.52,,200611,2.49,,200611,0.32,,200611,2.82,,200611,1.85,,200611,0.46,,200611,2.43,,200611,0.17,,200611,12.12,,200611,1.14,,200611,0.26,,200611,1.73,,200611,0.00,,200611,2.62,,200611,1.71,,200611,3.76,
86,200612,2.81,,200612,0.53,,200612,5.89,,200612,5.69,,200612,3.70,,200612,7.87,,200612,5.24,,200612,8.42,,200612,4.81,,200612,1.43,,200612,0.26,,200612,2.84,,200612,7.28,,200612,0.76,,200612,2.73,,200612,7.91,,200612,4.75,,200612,3.01,,200612,2.54,,200612,2.16,,200612,3.85,,200612,6.54,,200612,0.19,,200612,2.90,,200612,2.61,,200612,3.92,,200612,0.83,,200612,6.04,,200612,19.38,,200612,9.68,,200612,5.04,,200612,11.47,,200612,5.73,,200612,1.60,,200612,1.92,,200612,2.57,,200612,2.19,,200612,1.48,,200612,1.44,,200612,4.79,,200612,4.03,,200612,1.21,,200612,4.47,,200612,1.31,,200612,13.14,,200612,2.86,,200612,1.02,,200612,2.95,,200612,0.02,,200612,5.05,,200612,3.57,,200612,6.35,
87,200701,0.67,,200701,0.45,,200701,1.69,,200701,1.38,,200701,1.53,,200701,0.48,,200701,0.75,,200701,2.21,,200701,1.52,,200701,0.49,,200701,0.22,,200701,0.26,,200701,0.50,,200701,0.58,,200701,0.30,,200701,0.64,,200701,1.51,,200701,0.86,,200701,1.06,,200701,0.57,,200701,0.51,,200701,0.83,,200701,0.14,,200701,0.13,,200701,0.52,,200701,1.16,,200701,0.74,,200701,0.41,,200701,5.15,,200701,1.25,,200701,0.84,,200701,1.66,,200701,1.93,,200701,0.58,,200701,0.43,,200701,0.95,,200701,0.93,,200701,0.70,,200701,1.10,,200701,1.62,,200701,0.13,,200701,0.66,,200701,1.18,,200701,2.08,,200701,2.45,,200701,1.09,,200701,1.73,,200701,0.11,,200701,0.06,,200701,0.38,,200701,1.07,,200701,0.62,
88,200702,4.29,,200702,0.89,,200702,11.40,,200702,10.80,,200702,7.50,,200702,10.09,,200702,10.41,,200702,7.73,,200702,9.02,,200702,3.60,,200702,0.40,,200702,3.96,,200702,11.06,,200702,1.30,,200702,4.74,,200702,11.19,,200702,9.09,,200702,3.96,,200702,2.69,,200702,2.67,,200702,5.00,,200702,8.01,,200702,0.22,,200702,3.99,,200702,3.93,,200702,6.44,,200702,2.03,,200702,7.76,,200702,14.69,,200702,11.79,,200702,5.16,,200702,11.90,,200702,10.59,,200702,1.65,,200702,2.80,,200702,3.56,,200702,3.31,,200702,2.77,,200702,2.59,,200702,9.20,,200702,5.26,,200702,2.26,,200702,6.30,,200702,1.81,,200702,15.69,,200702,3.48,,200702,2.43,,200702,4.10,,200702,0.04,,200702,6.90,,200702,5.12,,200702,9.65,
89,200703,0.36,,200703,0.30,,200703,1.51,,200703,1.41,,200703,1.47,,200703,0.62,,200703,1.48,,200703,1.60,,200703,1.40,,200703,0.79,,200703,0.32,,200703,0.20,,200703,1.04,,200703,0.19,,200703,0.49,,200703,0.42,,200703,1.14,,200703,1.00,,200703,0.43,,200703,0.47,,200703,0.60,,200703,0.37,,200703,0.11,,200703,0.26,,200703,0.27,,200703,1.23,,200703,0.37,,200703,1.23,,200703,5.79,,200703,1.17,,200703,0.46,,200703,1.45,,200703,1.96,,200703,0.36,,200703,0.37,,200703,1.36,,200703,0.97,,200703,0.90,,200703,0.22,,200703,1.48,,200703,0.36,,200703,0.54,,200703,0.70,,200703,0.27,,200703,3.25,,200703,0.50,,200703,0.13,,200703,0.23,,200703,0.14,,200703,0.26,,200703,0.50,,200703,0.77,
90,200704,1.04,,200704,0.30,,200704,3.13,,200704,2.82,,200704,1.94,,200704,2.43,,200704,2.39,,200704,1.97,,200704,2.74,,200704,1.72,,200704,0.39,,200704,1.45,,200704,2.95,,200704,0.55,,200704,1.64,,200704,2.44,,200704,2.43,,200704,0.91,,200704,0.97,,200704,0.88,,200704,1.39,,200704,2.14,,200704,0.19,,200704,1.41,,200704,1.18,,200704,1.63,,200704,0.52,,200704,2.26,,200704,5.25,,200704,3.28,,200704,1.46,,200704,3.45,,200704,3.12,,200704,0.62,,200704,1.34,,200704,1.34,,200704,0.85,,200704,1.51,,200704,0.55,,200704,2.55,,200704,1.49,,200704,0.79,,200704,1.33,,200704,0.84,,200704,4.16,,200704,1.00,,200704,0.59,,200704,1.53,,200704,0.09,,200704,1.79,,200704,1.15,,200704,2.84,
